"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Tringa brevipes/incana",6124,"slash","y00495","Gray-tailed/Wandering Tattler","Charadriiformes","Scolopacidae",NA,"ביצנית אפורת-זנב/נודדת"
"Calidris pusilla/mauri",6046,"slash","y00496","Western/Semipalmated Sandpiper","Charadriiformes","Scolopacidae",NA,"חופית מערבית/אמריקנית"
"Calidris ruficollis/minuta",6034,"slash","y00497","Red-necked/Little Stint","Charadriiformes","Scolopacidae",NA,"חופית אדומת-צוואר/קטנה"
"Crotophaga ani/sulcirostris",3003,"slash","y00498","Smooth-billed/Groove-billed Ani","Cuculiformes","Cuculidae",NA,"Smooth-billed/Groove-billed Ani"
"Phaethornis longirostris/superciliosus",4228,"slash","y00596","Long-billed/Long-tailed Hermit","Caprimulgiformes","Trochilidae",NA,"Long-billed/Long-tailed Hermit"
"Motacilla flava/tschutschensis",31056,"slash","y00597","Western/Eastern Yellow Wagtail","Passeriformes","Motacillidae",NA,"נחליאלי צהוב / צהוב מזרחי"
"Parkesia motacilla/noveboracensis",33277,"slash","y00598","Louisiana/Northern Waterthrush","Passeriformes","Parulidae",NA,"Louisiana/Northern Waterthrush"
"Ramphocelus passerinii",34090,"species","y00599","Scarlet-rumped Tanager","Passeriformes","Thraupidae",NA,"Scarlet-rumped Tanager"
"Anas platyrhynchos/rubripes",530,"slash","y00600","Mallard/American Black Duck","Anseriformes","Anatidae",NA,"ברכיה/ברווז שחור אמריקני"
"Oxyura ferruginea/vittata",733,"slash","y00601","Andean/Lake Duck","Anseriformes","Anatidae",NA,"Andean/Lake Duck"
"Rallus elegans/limicola",5219,"slash","y00602","King/Virginia Rail","Gruiformes","Rallidae",NA,"King/Virginia Rail"
"Lessonia rufa/oreas",16623,"slash","y00603","Austral/Andean Negrito","Passeriformes","Tyrannidae",NA,"Austral/Andean Negrito"
"Petrochelidon pyrrhonota/fulva",23722,"slash","y00604","Cliff/Cave Swallow","Passeriformes","Hirundinidae",NA,"Cliff/Cave Swallow"
"Setophaga nigrescens/occidentalis",33516,"slash","y00605","Black-throated Gray/Hermit Warbler","Passeriformes","Parulidae",NA,"Black-throated Gray/Hermit Warbler"
"Calonectris diomedea/Ardenna gravis",6981,"slash","y00606","Cory's/Scopoli's/Great Shearwater","Procellariiformes","Procellariidae",NA,"יסעור גדול/צפוני/שחור-כיפה"
"Myiodynastes maculatus/luteiventris",17012,"slash","y00607","Streaked/Sulphur-bellied Flycatcher","Passeriformes","Tyrannidae",NA,"Streaked/Sulphur-bellied Flycatcher"
"Centrocercus urophasianus/minimus",1247,"slash","y00608","Greater/Gunnison Sage-Grouse","Galliformes","Phasianidae",NA,"Greater/Gunnison Sage-Grouse"
"Pterodroma madeira/feae",6901,"slash","y00609","Zino's/Fea's Petrel","Procellariiformes","Procellariidae",NA,"סערון לבן-חזה/מדירה"
"Nycticorax nycticorax/Nyctanassa violacea",7453,"slash","y00610","Yellow-crowned/Black-crowned Night Heron","Pelecaniformes","Ardeidae",NA,"Yellow-crowned/Black-crowned Night Heron"
"Milvus milvus/migrans",8097,"slash","y00611","Red/Black Kite","Accipitriformes","Accipitridae",NA,"דיה אדומה/שחורה"
"Accipiter striatus/cooperii",8045,"slash","y00612","Sharp-shinned/Cooper's Hawk","Accipitriformes","Accipitridae",NA,"Sharp-shinned/Cooper's Hawk"
"Falco naumanni/tinnunculus",11678,"slash","y00613","Lesser/Eurasian Kestrel","Falconiformes","Falconidae",NA,"בז אדום/בז מצוי"
"Gallinula/Fulica/Porphyrio sp.",5459,"spuh","y00614","moorhen/coot/gallinule sp.","Gruiformes","Rallidae",NA,"פורפיריה/אגמית/סופית בלתי-מזוהה"
"Stercorarius sp.",6283,"spuh","y00615","jaeger/skua sp.","Charadriiformes","Stercorariidae",NA,"חמסן בלתי-מזוהה"
"Coccyzus americanus/erythropthalmus",3212,"slash","y00616","Yellow-billed/Black-billed Cuckoo","Cuculiformes","Cuculidae",NA,"קוקיה צהובת-/שחורת-מקור"
"Picoides dorsalis/arcticus",10909,"slash","y00617","American Three-toed/Black-backed Woodpecker","Piciformes","Picidae",NA,"American Three-toed/Black-backed Woodpecker"
"Empidonax wrightii/oberholseri",16545,"slash","y00618","Gray/Dusky Flycatcher","Passeriformes","Tyrannidae",NA,"Gray/Dusky Flycatcher"
"Tyrannus vociferans/verticalis",17040,"slash","y00619","Cassin's/Western Kingbird","Passeriformes","Tyrannidae",NA,"Cassin's/Western Kingbird"
"Lanius ludovicianus/borealis",20590,"slash","y00620","Loggerhead/Northern Shrike","Passeriformes","Laniidae",NA,"Loggerhead/Northern Shrike"
"Cecropis daurica/striolata",23675,"slash","y00621","Eastern Red-rumped Swallow","Passeriformes","Hirundinidae",NA,"סנונית מערות מזרחית"
"Regulus regulus/ignicapilla",26304,"slash","y00622","Goldcrest/Common Firecrest","Passeriformes","Regulidae",NA,"מלכילון האורנים/לבן-גבות"
"Iduna pallida/opaca",23116,"slash","y00623","Eastern/Western Olivaceous Warbler","Passeriformes","Acrocephalidae",NA,"שיחנית קטנה / מערבית"
"Luscinia luscinia/megarhynchos",28773,"slash","y00625","Thrush/Common Nightingale","Passeriformes","Muscicapidae",NA,"זמיר מנומר/זמיר הירדן"
"Sturnus vulgaris/unicolor",27246,"slash","y00626","European/Spotless Starling","Passeriformes","Sturnidae",NA,"זרזיר מצוי/שחור"
"Setophaga castanea/striata",33450,"slash","y00627","Bay-breasted/Blackpoll Warbler","Passeriformes","Parulidae",NA,"Bay-breasted/Blackpoll Warbler"
"Geothlypis tolmiei/philadelphia",33332,"slash","y00628","MacGillivray's/Mourning Warbler","Passeriformes","Parulidae",NA,"MacGillivray's/Mourning Warbler"
"Quiscalus major/mexicanus",33202,"slash","y00629","Boat-tailed/Great-tailed Grackle","Passeriformes","Icteridae",NA,"Boat-tailed/Great-tailed Grackle"
"Icterus bullockii/abeillei",33096,"slash","y00630","Bullock's/Black-backed Oriole","Passeriformes","Icteridae",NA,"Bullock's/Black-backed Oriole"
"Acanthis/Spinus sp.",31993,"spuh","y00631","Acanthis/Spinus sp.","Passeriformes","Fringillidae",NA,"Acanthis/Spinus sp."
"Anas platyrhynchos/fulvigula",535,"slash","y00632","Mallard/Mottled Duck","Anseriformes","Anatidae",NA,"Mallard/Mottled Duck"
"Anas rubripes/fulvigula",539,"slash","y00633","American Black/Mottled Duck","Anseriformes","Anatidae",NA,"American Black/Mottled Duck"
"Gyps africanus/rueppelli",7675,"slash","y00634","White-backed Vulture/Rüppell's Griffon","Accipitriformes","Accipitridae",NA,"נשר לבן-גב/דרומי"
"Phalaropus lobatus/fulicarius",6113,"slash","y00635","Red/Red-necked Phalarope","Charadriiformes","Scolopacidae",NA,"שחיינית צרת-מקור/רחבת-מקור"
"Psittaculidae sp. (lorikeet sp.)",12365,"spuh","y00637","lorikeet sp.","Psittaciformes","Psittaculidae",NA,"lorikeet sp."
"Dicrurus macrocercus/leucophaeus",19965,"slash","y00638","Black/Ashy Drongo","Passeriformes","Dicruridae",NA,"Black/Ashy Drongo"
