unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Loess Covered Areas in the Northern Negev,NA,Apus pallidus,Pallid Swift,סיס חוורוור,0,,
Loess Covered Areas in the Northern Negev,NA,Athene noctua,Little Owl,כוס החורבות,1,,
Loess Covered Areas in the Northern Negev,NA,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Loess Covered Areas in the Northern Negev,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Loess Covered Areas in the Northern Negev,NA,Calandrella brachydactyla,Greater Short-toed Lark,עפרונן קצר-אצבעות,1,,
Loess Covered Areas in the Northern Negev,NA,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Loess Covered Areas in the Northern Negev,NA,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Loess Covered Areas in the Northern Negev,NA,Chlamydotis macqueenii,Macqueen's Bustard,חוברה מדברית,1,,
Loess Covered Areas in the Northern Negev,NA,Chloris chloris,European Greenfinch,ירקון,1,,
Loess Covered Areas in the Northern Negev,NA,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Loess Covered Areas in the Northern Negev,NA,Circaetus gallicus,Short-toed Snake-Eagle,חיוויאי הנחשים,0,?,דוגר נדיר וחולף שכיח באיזור
Loess Covered Areas in the Northern Negev,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Loess Covered Areas in the Northern Negev,NA,Coracias garrulus,European Roller,כחל מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Corvus cornix,Hooded Crow,עורב אפור,1,,
Loess Covered Areas in the Northern Negev,NA,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Loess Covered Areas in the Northern Negev,NA,Corvus ruficollis,Brown-necked Raven,עורב חום-עורף,1,,
Loess Covered Areas in the Northern Negev,NA,Coturnix coturnix,Common Quail,שליו נודד,0,,
Loess Covered Areas in the Northern Negev,NA,Curruca communis,Greater Whitethroat,סבכי קוצים,0,,
Loess Covered Areas in the Northern Negev,NA,Curruca conspicillata,Spectacled Warbler,סבכי ערבות,1,,
Loess Covered Areas in the Northern Negev,NA,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,0,,
Loess Covered Areas in the Northern Negev,NA,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,,
Loess Covered Areas in the Northern Negev,NA,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Loess Covered Areas in the Northern Negev,NA,Cursorius cursor,Cream-colored Courser,רץ מדבר,1,,
Loess Covered Areas in the Northern Negev,NA,Delichon urbicum,Common House-Martin,טסית בתים,0,,
Loess Covered Areas in the Northern Negev,NA,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Loess Covered Areas in the Northern Negev,NA,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,0,,
Loess Covered Areas in the Northern Negev,NA,Emberiza calandra,Corn Bunting,גיבתון עפרוני,0,?,דוגר באיזור אבל חורף שכיח יותר
Loess Covered Areas in the Northern Negev,NA,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Loess Covered Areas in the Northern Negev,NA,Falco naumanni,Lesser Kestrel,בז אדום,1,?,דוגר ביישובים ובמצוקים באיזור
Loess Covered Areas in the Northern Negev,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Loess Covered Areas in the Northern Negev,NA,Hirundo rustica,Barn Swallow,סנונית רפתות,0,,
Loess Covered Areas in the Northern Negev,NA,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Loess Covered Areas in the Northern Negev,NA,Lanius excubitor,Great Gray Shrike,חנקן גדול,1,,
Loess Covered Areas in the Northern Negev,NA,Lanius nubicus,Masked Shrike,חנקן נובי,0,,
Loess Covered Areas in the Northern Negev,NA,Lanius senator,Woodchat Shrike,חנקן אדום-ראש,1,,
Loess Covered Areas in the Northern Negev,NA,Linaria cannabina,Eurasian Linnet,תפוחית מצויה,0,?,"דוגרת לא שכיחה בצפון בנגב, חולפת שכיחה"
Loess Covered Areas in the Northern Negev,NA,Locustella luscinioides,Savi's Warbler,חרגולן זמירי,0,,
Loess Covered Areas in the Northern Negev,NA,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Milvus migrans,Black Kite,דיה שחורה,0,,
Loess Covered Areas in the Northern Negev,NA,Motacilla alba,White Wagtail,נחליאלי לבן,0,,
Loess Covered Areas in the Northern Negev,NA,Motacilla flava,Western Yellow Wagtail,נחליאלי צהוב,0,,
Loess Covered Areas in the Northern Negev,NA,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,0,,
Loess Covered Areas in the Northern Negev,NA,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,0,?,"דוגרת לא שכיחה בצפון בנגב, חולפת שכיחה"
Loess Covered Areas in the Northern Negev,NA,Oenanthe isabellina,Isabelline Wheatear,סלעית ערבות,1,,
Loess Covered Areas in the Northern Negev,NA,Oenanthe oenanthe,Northern Wheatear,סלעית אירופית,0,,
Loess Covered Areas in the Northern Negev,NA,Parus major,Great Tit,ירגזי מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Passer domesticus,House Sparrow,דרור הבית,1,,
Loess Covered Areas in the Northern Negev,NA,Passer hispaniolensis,Spanish Sparrow,דרור ספרדי,0,?,"חורף שכיח באיזור, פחות מצוי כדוגר"
Loess Covered Areas in the Northern Negev,NA,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Loess Covered Areas in the Northern Negev,NA,Phylloscopus orientalis,Eastern Bonelli's Warbler,עלווית לבנת-בטן,0,,
Loess Covered Areas in the Northern Negev,NA,Prinia gracilis,Graceful Prinia,פשוש,1,,
Loess Covered Areas in the Northern Negev,NA,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Loess Covered Areas in the Northern Negev,NA,Pterocles alchata,Pin-tailed Sandgrouse,קטה חדת-זנב,1,,
Loess Covered Areas in the Northern Negev,NA,Pterocles orientalis,Black-bellied Sandgrouse,קטה גדולה,1,,
Loess Covered Areas in the Northern Negev,NA,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Loess Covered Areas in the Northern Negev,NA,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Loess Covered Areas in the Northern Negev,NA,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Loess Covered Areas in the Northern Negev,NA,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Loess Covered Areas in the Northern Negev,NA,Turdus merula,Eurasian Blackbird,שחרור,1,,
Loess Covered Areas in the Northern Negev,NA,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Loess Covered Areas in the Northern Negev,NA,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Mediterranean Maquis,Carmel,Accipiter nisus,Eurasian Sparrowhawk,נץ מצוי,1,,
Mediterranean Maquis,Carmel,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Mediterranean Maquis,Carmel,Acrocephalus scirpaceus,Common Reed Warbler,קנית קטנה,1,?,דוגרת בחישות קנה
Mediterranean Maquis,Carmel,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Mediterranean Maquis,Carmel,Apus apus,Common Swift,סיס חומות,1,,
Mediterranean Maquis,Carmel,Apus melba,Alpine Swift,סיס הרים,0,?,דוגר במצוקים. סביר שנצפו להקות נודדות
Mediterranean Maquis,Carmel,Apus pallidus,Pallid Swift,סיס חוורוור,0,?,דוגר במצוקים. סביר שנצפו להקות נודדות
Mediterranean Maquis,Carmel,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Mediterranean Maquis,Carmel,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Mediterranean Maquis,Carmel,Carduelis carduelis,European Goldfinch,חוחית,1,,
Mediterranean Maquis,Carmel,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Mediterranean Maquis,Carmel,Cettia cetti,Cetti's Warbler,צטיה חלודית,1,,
